Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Store,Chrome 92.0.4515.131,,,2021-08-05 21:08:01,2021-08-05 21:08:54,52.112s,PASSED
,,,,,,,
Test Cases/CreateWishlist,Chrome 92.0.4515.131,Add a new address,,2021-08-05 21:08:02,2021-08-05 21:08:54,51.658s,PASSED
openBrowser(url),Chrome 92.0.4515.131,,,2021-08-05 21:08:03,2021-08-05 21:08:18,15.349s,PASSED
"setText(findTestObject(""YourLogo/LoginPage/txtUsername""), strUsername)",Chrome 92.0.4515.131,,,2021-08-05 21:08:18,2021-08-05 21:08:19,0.947s,PASSED
"setText(findTestObject(""YourLogo/LoginPage/txtPasswd""), strPasswrd)",Chrome 92.0.4515.131,,,2021-08-05 21:08:19,2021-08-05 21:08:20,0.901s,PASSED
takeScreenshot(),Chrome 92.0.4515.131,,,2021-08-05 21:08:20,2021-08-05 21:08:20,0.475s,PASSED
"click(findTestObject(""YourLogo/LoginPage/btnSignIn""))",Chrome 92.0.4515.131,,,2021-08-05 21:08:20,2021-08-05 21:08:35,14.424s,PASSED
"click(findTestObject(""YourLogo/Page_My account - My Store/btnMyWishlist""))",Chrome 92.0.4515.131,,,2021-08-05 21:08:35,2021-08-05 21:08:43,8.529s,PASSED
"setText(findTestObject(""YourLogo/MyWishListPage/txtWLName""), ""List_Winter"")",Chrome 92.0.4515.131,,,2021-08-05 21:08:43,2021-08-05 21:08:44,0.952s,PASSED
takeScreenshot(),Chrome 92.0.4515.131,,,2021-08-05 21:08:44,2021-08-05 21:08:45,0.384s,PASSED
"click(findTestObject(""YourLogo/MyWishListPage/btnSave""))",Chrome 92.0.4515.131,,,2021-08-05 21:08:45,2021-08-05 21:08:53,8.248s,PASSED
closeBrowser(),Chrome 92.0.4515.131,,,2021-08-05 21:08:53,2021-08-05 21:08:54,0.773s,PASSED
